TIC_ID,Period_days,Duration_hours,Depth,SNR,Odd_Even_Sigma,blend_probability,neighbor_count,bls_peak_power,transit_symmetry_score,v_shape_score,u_shape_score,ingress_duration,egress_duration,num_observed_transits,Label
TIC_MOCK_900000,10.622094810156252,4.047486965756939,0.06153892961289606,221.08802845363567,9.779987275247308,0.17405171076819967,3,647.1145835141001,0.8059533046168513,0.943895721614828,0.05610427838517196,1.5771846143397417,1.8645626002306606,2,Eclipsing Binary
TIC_MOCK_900001,0.8555353621890518,6.651009784468728,0.0001370580873928964,8.286213842649907,2.4348229657629927,0.9270345447963066,14,11.900394430050707,0.38750993766615993,0.19455832318530097,0.16633160774314215,1.8903200964976252,1.6169457012871755,18,Other
TIC_MOCK_900002,13.566872674913363,3.9046602663139884,0.05369376112056498,27.029004439439003,3.5881789295431474,0.7599620827216624,17,141.65825741184491,0.6365658280010843,0.39057467476734015,0.6094253252326598,1.1173414247579794,0.7613992942989551,2,Blend
TIC_MOCK_900003,10.740685981507673,3.836561098144518,0.011580815386379641,58.74692890325912,4.814634376187899,0.7934182586879699,11,250.25213374615583,0.7120529049115163,0.5632495970768905,0.4367504029231095,0.43476521329346296,0.21850604641196372,2,Blend
TIC_MOCK_900004,12.940711512969305,4.174975401522065,0.01191141752555063,68.19453220805741,0.4369336070684429,0.07215450382211996,1,455.010405529105,0.8706842758605436,0.1473741117948964,0.8526258882051037,0.4122102060975448,0.3936447559978196,2,Transit
TIC_MOCK_900005,16.54097921101673,1.3821412553386727,0.013384242995900263,66.14733922089158,1.129419196843073,0.11732169263509483,0,381.59318522488195,0.9725594155086457,0.14334796001815514,0.8566520399818449,0.1382858222080647,0.125111016248709,2,Transit
TIC_MOCK_900006,13.018444258643687,1.9277883844639017,0.010979278513009994,45.18153963149632,1.4861908379654327,0.09935337177183388,1,173.5431143000564,0.9194093833791384,0.23516824901747518,0.7648317509825249,0.27708678671181086,0.2740826624537345,2,Transit
TIC_MOCK_900007,14.628078602273053,8.27771704263271,0.0017713411199236806,6.222535871493606,3.372271327554204,0.9055247923296739,12,7.779677914614531,0.15139494975785833,0.8941908746641183,0.1918673247187429,1.0377775301350103,0.7573035664582652,2,Other
TIC_MOCK_900008,7.422427963722778,1.3380628179610745,0.05238691929991877,162.0677364862487,1.1685604095521651,0.8160047658418043,42,190.05923774642412,0.8040395793310354,0.415414594577006,0.584585405422994,0.8482303738564423,0.5855545164714151,2,Blend
TIC_MOCK_900009,1.520608077836912,5.977402453521285,0.03693148291275321,94.80694672755202,1.667847747361002,0.8321900026866699,40,289.6497487077996,0.7904880136773099,0.6774189099704239,0.32258109002957613,0.5045735258087011,0.4588984469357633,12,Blend
TIC_MOCK_900010,8.742437711225696,2.2034124334130203,0.00012460992721224793,98.31127369098735,1.1872163587655464,0.07650525604880165,3,488.374082882607,0.804005271185165,0.2474360450014486,0.7525639549985514,0.40743992191540335,0.38655102439730815,2,Transit
TIC_MOCK_900011,13.595389650454226,7.985068888776517,0.0013595316055171913,8.052803344234782,6.084864126597913,0.5068384318204826,19,29.806064421004177,0.12169622831485727,0.3031283559453286,0.26311256991084286,1.1443955816674054,0.35416396561513175,2,Other
TIC_MOCK_900012,18.770677549105724,4.271324412205693,0.0015970691222243153,5.13041778353385,6.005943333606173,0.5156794276964978,2,32.51965848649831,0.44475242939065995,0.5665753621714186,0.3910427630581744,1.5533436976278283,1.251818454544712,2,Other
TIC_MOCK_900013,11.024786065818885,5.194887155356557,0.3534367128840718,374.63993029792925,5.401726837683599,0.06359474727067156,8,390.27518006177365,0.509157529990448,0.7461373449004093,0.2538626550995907,0.8354216517444668,0.9882446286986449,2,Eclipsing Binary
TIC_MOCK_900014,11.674307864151562,2.917417760551407,0.011545750674882836,38.235492207468646,1.515927361083439,0.02783960492350597,4,192.88915154453167,0.9905595055202588,0.2650401534831136,0.7349598465168864,0.36652275433401593,0.3387961811083362,2,Transit
